model_name,32_images_per_second,32_ms_per_image,32_top_1_acc,32_top_5_acc,16_images_per_second,16_ms_per_image,16_top_1_acc,16_top_5_acc,8_images_per_second,8_ms_per_image,8_top_1_acc,8_top_5_acc
vgg19,298.9817,3.3447,72.9100,92.1000,570.4655,1.7530,72.8500,92.1100,902.3258,1.1082,72.5800,92.0600
resnet101,295.1369,3.3883,77.9400,94.7300,524.2558,1.9075,77.9800,94.7300,690.5893,1.4480,77.7400,94.7200
inception_v3,233.9574,4.2743,78.3700,94.5600,519.5648,1.9247,78.4000,94.5600,571.4443,1.7500,78.4200,94.6600
mixnet_m,397.2398,2.5174,77.8200,94.3600,486.3885,2.0560,77.8000,94.4100,458.3472,2.1818,73.7900,92.8300
mixnet_l,359.0154,2.7854,78.9200,94.9800,454.5329,2.2001,78.9300,95.0000,428.4458,2.3340,76.7300,94.2200
timm_regnetx_016,324.6819,3.0799,77.0300,93.9200,439.0434,2.2777,76.9800,93.9300,428.8726,2.3317,77.0500,94.0100
timm_res2net50_26w_6s,250.8486,3.9865,79.1300,95.1500,401.4456,2.4910,79.1200,95.1600,374.9614,2.6669,78.7600,95.1100
timm_res2net50_14w_8s,285.1415,3.5070,78.6600,94.9100,396.1390,2.5244,78.6300,94.9000,366.9082,2.7255,78.4900,94.8500
resnet152,209.7863,4.7668,79.2900,95.6300,370.8857,2.6962,79.2200,95.6300,497.6481,2.0095,79.0400,95.4800
timm_regnety_016,292.9861,3.4131,77.9900,94.6200,344.0718,2.9064,77.9800,94.6000,323.9358,3.0870,77.3400,94.3400
timm_regnetx_120,212.1757,4.7131,80.3500,95.6200,341.5679,2.9277,80.3300,95.6300,257.0829,3.8898,80.3000,95.6000
wide_resnet101,177.8792,5.6218,79.2000,95.5000,339.2589,2.9476,79.1700,95.5400,462.7337,2.1611,78.9000,95.3100
timm_regnetx_080,243.2626,4.1108,79.5000,95.3800,333.5673,2.9979,79.5300,95.3800,274.8899,3.6378,79.6100,95.2800
timm_regnetx_032,242.4771,4.1241,78.6500,95.0000,325.1258,3.0757,78.6600,94.9900,276.1314,3.6215,78.7000,95.0400
timm_regnetx_160,184.0281,5.4340,80.4700,95.6600,323.3777,3.0924,80.5000,95.6600,358.7926,2.7871,80.4500,95.6100
timm_res2net101_26w_4s,198.5766,5.0358,79.9500,95.3600,320.8746,3.1165,79.9600,95.3700,318.4152,3.1406,79.7400,95.2300
timm_res2net50_26w_8s,196.1691,5.0976,79.6100,95.3100,317.0921,3.1537,1.0400,3.0700,318.6105,3.1386,16.4300,30.3700
timm_regnety_120,186.7439,5.3549,80.7800,96.0100,316.3345,3.1612,80.7600,96.0100,228.5952,4.3745,80.1100,95.8200
densenet121,291.2058,3.4340,75.4300,93.4700,314.4142,3.1805,75.4100,93.5000,340.9825,2.9327,74.2600,92.9200
resnext101_32x8d,99.9418,10.0058,79.7000,95.6200,308.9589,3.2367,79.7500,95.6100,311.4603,3.2107,79.5700,95.4700
timm_regnety_040,233.9194,4.2750,79.8400,95.3700,308.1821,3.2448,79.8500,95.3800,283.1265,3.5320,79.3100,94.9800
timm_regnetx_064,246.6329,4.0546,79.5500,95.4600,305.9429,3.2686,79.5700,95.4400,284.3637,3.5166,79.5800,95.3800
timm_resnest14d,261.1122,3.8298,76.0900,93.4700,293.2641,3.4099,76.1300,93.5000,289.6953,3.4519,75.3200,93.2800
timm_regnetx_040,244.6661,4.0872,78.4300,94.8300,275.2565,3.6330,78.4800,94.8300,258.1407,3.8739,78.5000,94.6700
timm_regnety_160,145.1145,6.8911,83.3600,97.4000,266.3306,3.7547,83.3800,97.4000,219.7400,4.5508,83.1800,97.3800
timm_regnetx_320,102.5979,9.7468,80.6400,95.6800,264.8012,3.7764,80.6300,95.6800,193.8300,5.1592,80.6400,95.5300
timm_regnety_320,98.4699,10.1554,81.5600,95.8600,252.3684,3.9625,81.5700,95.8600,166.1744,6.0178,79.1900,95.2000
timm_regnety_032,233.7953,4.2772,82.5100,96.8000,251.9089,3.9697,82.5100,96.8200,254.2623,3.9329,82.0700,96.5700
timm_regnety_080,206.7163,4.8375,80.2400,95.5300,244.3091,4.0932,80.2100,95.5400,229.6982,4.3535,79.9000,95.5300
timm_regnety_064,186.6234,5.3584,80.3500,95.7800,217.7029,4.5934,80.3400,95.7700,221.3274,4.5182,80.0800,95.5200
densenet161,133.1691,7.5093,78.5200,94.7000,199.4335,5.0142,78.5200,94.7000,217.3166,4.6016,78.1400,94.6200
densenet169,180.2535,5.5477,76.3000,93.8100,194.5266,5.1407,76.2800,93.8100,214.9073,4.6532,75.2800,93.3000
timm_resnetrs420,67.7696,14.7559,81.0800,95.8000,133.2773,7.5032,81.0600,95.8100,126.2063,7.9235,81.1700,95.6700
densenet201,127.3962,7.8495,77.4400,94.6600,128.1102,7.8058,77.5000,94.6800,145.5368,6.8711,76.6100,94.3200
